Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020
Jamaica,JAM,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/jm/flat/64.png,2934855,2.934854984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1135774478,.2271548957,.9086195827,.7950420976,.9086195827,.2271548957,.4543097913,.340732336,.5678872466,.4543097913,.340732336,.4543097913,.340732336,.5678872466,.7950420976,.7950420976,.5678872466,.4543097913,.6814646721,1.135774493,.6814646721,1.362929344,1.249351859,1.249351859,1.022197008,1.249351859,1.249351859,1.135774493,.5678872466,.5678872466,0,.2271548957,.6814646721,1.135774493,.9086195827,6.360336781,7.950421333,7.950421333,4.315942764,3.40732336,9.086195946,6.814646721,6.814646721,3.861633062,7.382534027,8.177576065,10.56270218,8.631885529,6.701069355,5.224562645,6.587491989,7.723266125,7.609688759,5.338140011,4.429520607,1.135774493,1.022197008,1.930816531,1.930816531,1.362929344,1.590084195,1.70366168,1.930816531,.7950420976,.4543097913,.4543097913,.9086195827,1.249351859,1.022197008,.340732336,1.022197008,1.533295512
Haiti,HTI,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/ht/flat/64.png,11123176,11.12317562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0599349216,.0599349216,.0599349216,.1198698431,.1498373002,.1798047721,.0599349216,.0299674608,0,.2097722292,.2097722292,.2097722292,.0299674608,.0299674608,.0899023861,.1198698431,.1498373002,.1798047721,.1498373002,.1798047721,.1798047721,.1798047721,.1798047721,.0899023861,.2697071433,.2097722292,.2397396863,.0299674608,.0899023861,.0899023861,.1798047721,.4195444584,.3895770013,.4495119154,.4495119154,.4495119154,.2996746004,.0599349216,.1198698431,.1198698431,.0599349216,.1498373002,.2697071433,.2697071433,.2097722292,.4495119154,.4794793725,.3895770013,.869056344,1.348535776,1.498373032,1.588275433,1.887950063,1.738112688,1.558308005,1.91791749,3.02671361,3.715965271,5.484045506,6.682744026,5.244305611,4.195444584,2.831925154
Honduras,HND,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/hn/flat/64.png,9587522,9.587521553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0695348307,.0695348307,.0695348307,0,.0347674154,.1390696615,.2086044848,.2086044848,.2086044848,.556278646,.5215111971,.4867438078,.2086044848,.2086044848,.3476741314,.764883101,1.321161747,2.051277399,2.01651001,2.468486309,1.5993011,2.155579567,2.781393051,2.81616044,3.1986022,1.703603268,2.642323494,1.425464034,1.529766202,1.564533591,2.677090883,2.781393051,1.738370657,.5215111971,.5215111971,.9039527774,1.008255005,1.21685946,1.321161747,1.5993011,1.21685946,1.286394358,1.321161747,1.460231423,3.372439146,4.067787647,3.754880667,2.43371892,2.607556105,3.859183073,3.824415684,3.546276331,9.456736565,9.873945236,13.00301266,9.039527893,14.11557007,17.62707901,17.4184742,12.82917595,9.978247643,11.43847942,8.691853523,9.839178085,7.579296112,13.21161747,10.77789879,11.40371227,11.75138569,13.55929184,10.74313068,8.187726021
Guatemala,GTM,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/gt/flat/64.png,17247807,17.24780655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0193261281,.0193261281,.0386522561,.0966306478,.0966306478,.1352829039,.1159567758,.2125874162,.1932612956,.1546090245,.0773045123,.0966306478,.0966306478,.1352829039,.1932612956,.17393516,.1546090245,.0773045123,.0966306478,.2125874162,.2319135517,.4251748323,.2705658078,.3865225911,.309218049,.5024793744,.483153224,.9469802976,.966306448,1.159567714,.5797838569,.5797838569,.483153224,.7730451822,.9083280563,1.06293714,1.178893924,1.449459672,1.140241623,1.140241623,1.835982203,2.628353596,3.034202337,2.241831064,1.932612896,1.101589322,1.101589322,1.333502889,2.203178644,2.531722784,2.009917498,1.662047148,1.449459672,1.835982203,1.971265197,2.647679567,3.266115904,4.251748562,4.135791779,4.483662128,5.604577541,7.807755947,8.58080101,8.136300087,4.734901428,5.198728561,7.150667667,9.701716423,10.23318481
Ecuador,ECU,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ec/flat/64.png,17084357,17.08435631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1170661598,.1170661598,.136577189,.078044109,.136577189,.1170661598,.0585330799,.0195110273,.0390220545,.0390220545,.0585330799,.0390220545,.0390220545,.2146212906,.2146212906,.3902205229,.5853307843,1.619415164,3.16078639,6.028907299,7.706855774,11.51150608,11.97977066,11.23835182,7.49223423,8.233653069,10.00915718,12.68216705,10.16524506,7.16054678,8.136097908,16.07708549,23.43274307,22.00843811,13.98940659,9.423826218,7.39467907,5.502109528,15.68686581,23.764431,66.61064911,54.76745224,48.79707718,7.180058002,6.750815392,7.648322582,13.57967472,16.52583885,22.7108345,24.2522068,32.73950195,26.84717369,26.96423912,20.58413315,240.3953552,231.5763702,225.0792084,10.16524506,30.02746964,38.16356659,33.0516777,40.54391479,54.41625214,89.82876587,108.1886444,86.1802063,45.7143364,-30.88595581,-59.7622757,-54.82598495,-14.41864872,13.48211956,26.30086327,18.08672142,19.37444878,20.44755554,44.42660904,52.28955078,41.26582336,27.08130455,32.62243652,37.22703934
Dominican Republic,DOM,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/do/flat/64.png,10627165,10.62716484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0313661583,.0313661583,.0313661583,0,0,.0313661583,.0313661583,.1254646331,.0940984711,.0940984711,0,0,0,.1881969422,.1881969422,.1881969422,.3136615753,.3136615753,.721421659,1.599674106,2.854320288,5.269514561,5.426345348,6.273231506,5.959569931,7.621976376,8.437496185,10.25673389,11.63684464,10.03717041,12.23280144,13.33061695,15.02439022,11.88777351,6.398696423,11.4486475,10.66449356,14.6793623,11.48001385,16.34176826,20.82712936,20.3252697,19.38428497,17.1572876,16.52996445,20.29390526,18.44330025,26.34757233,22.61499977,29.01369667,26.28483963,22.2386055,19.44701767,18.16100502,22.11314201,19.63521576,18.56876564,17.06319046,15.36941719,16.21630287,21.29762077,27.35128975,29.04506302,30.80156708,29.70375252,28.29227448,26.75533295,26.97489548,28.10407829,33.7186203,39.27043152,39.45862579,31.93074989,26.62986755,21.51718521,26.31620598,28.66866875,31.17796135,30.92703247,34.91053391,36.47884369,35.38102722
Costa Rica,CRI,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/cr/flat/64.png,4999441,4.999441147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0666741207,.0666741207,.3333705962,.5333929658,.5333929658,.5333929658,.8667635322,.9334376454,.8667635322,.3333705962,.8000894189,1.000111818,1.533504725,2.26692009,3.200357676,4.467165947,4.333817959,4.600514412,4.000447273,4.467165947,4.867210865,5.733974457,6.267367363,5.533951759,4.467165947,3.467054129,4.067121029,4.400491714,4.600514412,4.000447273,3.867098808,3.400380135,3.200357676,3.200357676,4.800536633,5.000558853,5.000558853,3.733750582,3.600402355,2.733638763,2.066897631,2.000223637,2.066897631,1.933549404,1.200134158,.8667635322,.9334376454,1.400156498,1.600178838,1.200134158,.8000894189,.6000670791,.6667411923,.8000894189,1.200134158,1.466830611,1.333482385,1.333482385,1.333482385,1.133460045,1.466830611,1.466830611,1.533504725,1.200134158,1.266808271,1.800201178,1.866875291,1.600178838,1.533504725,1.933549404,2.600290537,2.533616543,2.200245857,1.533504725,1.933549404,2.26692009,3.100346565
Colombia,COL,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/co/flat/64.png,49648685,49.64868546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0067138402,.0067138402,.0067138402,0,.0134276804,.0537107214,.0537107214,.0671384037,.0872799233,.1678459942,.275267452,.2886951268,.3961165547,.3222643137,.4229719341,.6915255189,.8660853505,1.000362158,1.221918941,1.604607821,1.436761737,1.080928206,.9265099168,1.416620255,1.738884568,2.000724316,2.437124014,2.437124014,2.42369628,2.289419413,2.175284147,2.094718218,2.510976076,3.820174932,4.323712826,4.652691364,4.397565365,3.712753534,2.544545412,1.812736869,2.208853483,2.557973146,3.088366508,2.242422581,3.753036499,3.612046003,4.76682663,3.786605835,3.920882702,4.914530754,5.277078152,5.491920948,4.807109356,5.418068886,5.55905962,6.109594345,7.096529007,7.237519741,7.794768333,6.492283344,8.915979385,8.667567253,9.956624985,9.654501915,10.31245804,10.7891407,10.48701859,11.93049335,12.53473949,13.40753841,13.05170536,13.48810482,13.18598175,13.95807362,13.40082455,14.18634415,14.01849842
Chile,CHL,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/cl/flat/64.png,18729160,18.72916031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0177975595,.0177975595,.071190238,.0533926748,.0533926748,.071190238,.071190238,.1601780355,.2669633925,.2669633925,.533926785,.676307261,.9076755047,1.993326545,2.491658211,2.918799639,1.477197409,4.146831036,5.321470261,7.012238026,5.552838326,6.852060318,9.07675457,9.966632843,12.24472046,13.65072727,14.82536697,14.93215179,14.75417614,15.87542248,16.99666786,17.77976227,20.11124229,18.98999596,19.18576813,16.99666786,19.13237572,20.59177589,24.64961815,24.57842827,22.08677101,18.22470093,17.61958313,18.86541176,22.8164711,23.75974083,25.93104362,22.79867363,22.33593559,19.61290932,21.49945068,23.22581482,26.23360252,27.79978752,27.03449249,26.82092094,26.82092094,27.65740585,39.33260345,47.03894806,63.18133545,64.78311157,64.69412994,63.73305893,60.24473572,70.08678436,70.40714264,74.23361969,76.26254272,72.80981445,80.1246109,98.15353394,124.1735687,139.1947021,125.4193954,119.9733429,115.9866943,145.0679016,175.0567932,201.7709198
Barbados,BRB,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/bb/flat/64.png,286641,.2866410017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32578969,2.32578969,5.814474106,3.488684416,4.65157938,10.46605301,13.95473766,13.95473766,4.65157938,1.162894845,6.977368832,9.30315876,17.44342232,10.46605301,9.30315876,1.162894845,15.11763287,19.76921272,20.93210602,11.62894821,10.46605301,12.79184246,8.140263557,6.977368832,4.65157938,5.814474106,5.814474106,5.814474106,4.65157938,2.32578969,3.488684416,3.488684416,2.32578969,0,0,0,0,1.162894845,2.32578969,4.65157938,3.488684416,3.488684416,1.162894845,1.162894845,1.162894845,1.162894845,1.162894845,1.162894845,1.162894845,1.162894845,0,0,1.162894845,2.32578969,2.32578969,1.162894845,1.162894845,1.162894845,1.162894845,0,1.162894845,3.488684416,3.488684416,4.65157938,2.32578969,3.488684416
Brazil,BRA,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/br/flat/64.png,209469333,209.4693298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0015913228,.0015913228,.0015913228,.0015913228,.0015913228,.0015913228,0,.0031826457,.0031826457,.0175045524,.0143219056,.0254611652,.0190958735,.0286438111,.0286438111,.0429657176,.1909587383,.1798194796,.1750455201,.0779748186,.2705248892,.3341777921,.669946909,.7511044145,1.032768488,1.471973658,1.79978621,1.950961828,1.604053497,1.688393593,1.861847758,2.148285866,2.022571325,1.84911716,2.885068417,4.105612755,5.513933659,5.313426971,5.607821941,4.910822392,4.941057682,5.846520424,8.020267487,9.438136101,8.917773247,7.25165844,6.524423599,6.034296513,7.216649055,9.751626968,11.13130379,13.39893818,13.26844978,13.0949955,11.23633099,10.21788406,11.30316639,14.78816319,17.44726372,21.58947754,20.78904152,21.32850075,22.13689232,26.39208984,31.41430473,30.182621,27.71288681,23.29537582,26.12633896,29.2087307,39.44093704,43.20919037,50.02959824,46.86445999,42.84795761,36.1230278,35.25257492,43.66271591,53.42229843,66.95809174,69.02204132,60.33500671,55.8188324,61.06542206,80.36021423,86.43508911
