Iso3,Country,image,idb,02Dec20,03Dec20,04Dec20,05Dec20,06Dec20,07Dec20,08Dec20,09Dec20,10Dec20,11Dec20,12Dec20,13Dec20,14Dec20,15Dec20,16Dec20,17Dec20,18Dec20,19Dec20,20Dec20,21Dec20,22Dec20,23Dec20,24Dec20,25Dec20,26Dec20,27Dec20,28Dec20,29Dec20,30Dec20,31Dec20,01Jan21,02Jan21,03Jan21,04Jan21,05Jan21,06Jan21,07Jan21,08Jan21,09Jan21,10Jan21,11Jan21,12Jan21,13Jan21,14Jan21,15Jan21,16Jan21,17Jan21,18Jan21,19Jan21,20Jan21,21Jan21,22Jan21,23Jan21,24Jan21,25Jan21,26Jan21,27Jan21,28Jan21,29Jan21,30Jan21,31Jan21,01Feb21,02Feb21,03Feb21,04Feb21,05Feb21,06Feb21,07Feb21,08Feb21,09Feb21,10Feb21,11Feb21,12Feb21,13Feb21,14Feb21,15Feb21,16Feb21,17Feb21,18Feb21,19Feb21,20Feb21,21Feb21,22Feb21,23Feb21,24Feb21,25Feb21,26Feb21,27Feb21,28Feb21,01Mar21,02Mar21,03Mar21,04Mar21,05Mar21,06Mar21,07Mar21,08Mar21,09Mar21,10Mar21,11Mar21,12Mar21,13Mar21,14Mar21,15Mar21,16Mar21,17Mar21,18Mar21,19Mar21,20Mar21,21Mar21,22Mar21,23Mar21,24Mar21,25Mar21,26Mar21,27Mar21,28Mar21,29Mar21,30Mar21,31Mar21,01Apr21,02Apr21,03Apr21,04Apr21,05Apr21,06Apr21,07Apr21,08Apr21,09Apr21,10Apr21,11Apr21,12Apr21,13Apr21,14Apr21,15Apr21,16Apr21,17Apr21,18Apr21,19Apr21,20Apr21,21Apr21,22Apr21,23Apr21,24Apr21,25Apr21,26Apr21,27Apr21,28Apr21,29Apr21,30Apr21,01May21,02May21,03May21,04May21,05May21,06May21,07May21,08May21,09May21,10May21,11May21,12May21,13May21,14May21,15May21,16May21,17May21,18May21,19May21,20May21,21May21
URY,Uruguay,https://www.countryflags.io/uy/flat/64.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,375,9385,20301,33812,46415,58450,68766,79082,90843,103618,116945,132192,149373,168042,186712,202970,217061,228685,242324,257899,273768,289640,309449,333519,361520,390512,420194,449974,479753,511751,545983,581395,617707,655202,692628,730104,765290,799228,833428,867444,899729,933976,968190,1004639,1042658,1082068,1123347,1167987,1213769,1261345,1306686,1349991,1391454,1431345,1469828,1506484,1541441,1577563,1614594,1652010,1688820,1725129,1758358,1791504,1822838,1852578,1880613,1907405,1930799,1954884,1979317,2005527,2032918,2060196,2092615,2128204,2167979,2209509,2251914,2295348,2340679,2382321,2423155
UKR,Ukraine,https://www.countryflags.io/ua/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,1338,2784,3778,4744,5693,6815,8159,9751,11566,13551,15540,17570,19940,22770,26449,30989,35860,40890,47028,54731,63779,72392,80506,88674,96941,105490,116660,128262,141653,154509,167093,179584,192580,203434,214121,224917,238105,251368,264705,277817,290488,302751,314938,327275,339820,352169,364129,376028,388131,399513,409921,420227,430567,441194,451805,462174,472921,483853,494712,505767,516673,528228,547844,575632,608513,641371,673851,704876,733592,755740,772830,787928,803338,818951,834661,852491,869734,884637,897768,911088,924498,940141,955902,971314,986344,1000509
UGA,Uganda,https://www.countryflags.io/ug/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,676,1014,1318,1561,2035,2704,3787,5551,7912,10454,13641,16929,20906,26409,31214,35374,41250,47846,55700,63939,71316,79788,89387,98188,106750,114925,122615,131959,142030,151296,159756,168295,176757,185712,193912,200744,207740,215104,222277,229226,235919,242694,249364,255929,262185,269407,277706,287390,296213,305109,314079,323122,330501,339151,346856,354991,363404,371886,380477,389499,396225,402378,407531,412467,417395,423411,430332,438212,445928,453758,461865,470249
TUV,Tuvalu,https://www.countryflags.io/tv/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
TUR,Turkey,https://www.countryflags.io/tr/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279452,587778,813412,990025,1156507,1314946,1465302,1585417,1669068,1747637,1824523,1891715,1957378,2024533,2107007,2210741,2315595,2421536,2540614,2657608,2774851,2889598,2979805,3071356,3160536,3235951,3307876,3372424,3421755,3542405,3700716,3874231,4091063,4362217,4709144,5144740,5567218,5970591,6362981,6742306,7122122,7464421,7762197,8038926,8321964,8604256,8881030,9135907,9378457,9604216,9812428,10007975,10203614,10378937,10543130,10692092,10826729,10967584,11116109,11269644,11449591,11660063,11914629,12190199,12490528,12791452,13086542,13372876,13643286,13904375,14160936,14396175,14628019,14877053,15117526,15362140,15628557,15903025,16163871,16442480,16711352,17003396,17298600,17565756,17843056,18129228,18392434,18651252,18899168,19141292,19365264,19558904,19771960,19985104,20195878,20388240,20562592,20734736,20918124,21071788,21233366,21399188,21587656,21786976,22023420,22286162,22561800,22823320,23091288,23362672,23655622,23937204,24208568,24476304,24755492,25028640,25274868,25481948,25659804,25793312,25917736,26036888,26158884,26292148,26486220,26696588,26936744,27243156
TUN,Tunisia,https://www.countryflags.io/tn/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,1781,2633,3541,4483,5447,6427,7703,9192,11401,14031,17220,20969,25539,30487,35659,40669,45736,50721,55624,60183,65301,70993,77417,84190,91379,99726,108241,117211,126654,136373,146447,156557,166106,176488,186708,196887,207359,218392,230155,242764,255624,268786,282230,295602,308922,322262,334480,345767,359160,372845,385914,398337,410586,423751,438990,453134,467811,483939,499816,514982,529227,541393,551562,563195,576156,592165,611240,611240,611240
TTO,Trinidad and Tobago,https://www.countryflags.io/tt/flat/64.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,126,189,252,315,378,441,511,587,670,760,857,958,1064,1168,1269,1368,1465,1560,1655,1750,1845,1940,2035,2130,2225,2320,2415,2510,2605,2700,2795,2890,2985,3080,3175,3270,3365,3460,3555,3650,3745,3840,3935,4030,4125,4220,4315,4410,4505,4600,4695,4946,5353,5916,6635,7510,8541,9728,11080,12403,13564,14731,15983,17316,18887,20640,22696,25252,28660,31831,34810,37391,39499,41163,42320,42786,44187,46111,48407,50854,53465,56131,58493,59948,60836,61350,61673,61833,61937,62009,62197,62371,62537,62779
TON,Tonga,https://www.countryflags.io/to/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2287,2920,3553,4186,4819,5452,6085,6718,7373,8051,8751,9474,10220,10988,11779,12547,13293,14016,14717,15395,16051,16684,17370,18109,18901,19746,20644,21595,22599,22599,22599,22599
TLS,Timor-Leste,https://www.countryflags.io/tl/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2629,4101,5573,7045,8517,9989,11461,12933,14405,15877,17349,18821,20293,21765,23237,24709,26181,27653,29125,30597,32035,33440,34811,36148,37452,38722,39958,41194,42430,43666,44902,46138,47374,48610,48610,48610,48610,48610
TKM,Turkmenistan,https://www.countryflags.io/tm/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993,41993
TJK,Tajikistan,https://www.countryflags.io/tj/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70517,70778,71039,71300,71561,71822,72083,72344,72344,72344,72344,72344,72344
THA,Thailand,https://www.countryflags.io/th/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,320,2741,5380,8150,11008,13928,17296,21112,24407,27702,31489,35768,40540,45467,50549,55787,61180,66236,70955,75338,79721,84104,88487,92870,98494,105359,113465,122812,133401,145231,158161,170950,185763,200476,215212,233423,253925,282381,319771,363414,407863,452516,493038,529512,556786,573880,583577,591166,598099,610624,629668,669978,724091,794118,867780,943649,1023766,1104781,1173325,1237152,1291671,1343158,1391335,1430133,1472042,1508783,1543093,1579294,1616316,1662457,1719577,1771361,1834008,1901572,1964539,2032262,2097178,2160398,2233267,2304660,2379449,2470919
TGO,Togo,https://www.countryflags.io/tg/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2806,5612,8418,11224,14030,16836,19642,22448,25254,28060,30866,33672,36478,39284,42090,44883,47662,50427,53179,55917,58641,61352,64063,66774,69485,72196,74907,77618,80329,83040,85856,88778,91805,94938,98176,103170,109920,118320,128370,138479,148648,158877,167515,174563,180020,183887,187754,191621,195488,199355,203222,207089,210956,214823,218690,222557,226424,230291,234158,238025,241892,245759,249626,253493,257360,261227,265094,268961,272828,272828,272828,272828,272828
TCA,Turks and Caicos Islands,https://www.countryflags.io/tc/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,624,936,1248,1560,1872,2184,2496,2808,3120,3432,3744,4056,4368,4680,4992,5304,5616,5928,6240,6552,6864,7176,7488,7800,8112,8424,8736,9048,9360,9672,9984,10296,10608,10920,11232,11544,11856,12168,12480,12792,13104,13416,13728,14040,14352,14664,14976,15288,15600,15912,16224,16536,16848,17160,17472,17784,18096,18408,18720,19032,19344,19656,19968,20280,20592,20904,21216,21528,21840,22152,22464,22776,23088,23400,23712,24024,24336,24611,24850,25052,25218,25348,25441,25498,25555,25612,25669,25726,25783,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840,25840
SYR,Syrian Arab Republic,,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,132,198,264,330,396,462,528,594,660,726,792,858,924,990,1056,1122,1188,1254,1320,1386,1452,1518,1584,1650,1716,1782,1848,1914,1980,2046,2112,2178,2244,2310,2376,2442,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508
SYC,Seychelles,https://www.countryflags.io/sc/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1000,1500,2000,2600,3267,4267,5385,6621,7975,9570,11288,13129,14751,16293,17756,19433,21208,23173,25169,27157,29236,31406,33345,34989,36276,37365,38352,39318,40263,41426,42993,44998,47201,49602,51985,54350,56574,58473,60111,61705,63039,64248,65651,67162,68802,70489,72233,74250,76280,78003,79421,80568,81514,82248,82770,83341,83961,84733,85657,86570,87435,88252,89020,89740,90286,90658,90950,91315,91754,92266,92852,93530,94471,95477,96456,97407,98331,99227,100096,100781,101479,102135,102749,103321,103851,104339,104889,105500,106228,107073,108028,109093,110268,111386,112446,113449,114395,115290,116134,116965,117833,118737,119678,120633,121601,122583,123537,124462,125423,126265,127012,127663,128219,128738,129221,129562,129915,130281,130659,131049,131398,131705,131991,132256,132500,132729,132944,133144,133144,133144,133144
